name,item_type_code,relevant_country
AA,BREAKDOWN,GB
RAC,BREAKDOWN,GB
Green Flag,BREAKDOWN,GB
Apple iCloud,CLOUD,\N
DropBox,CLOUD,\N
OneDrive,CLOUD,\N
Google Drive,CLOUD,\N
Radio Times,MAGAZINES,GB
Good Housekeepig,MAGAZINES,GB
Bike! ,MAGAZINES,GB
Car,MAGAZINES,GB
Spotify,MUSIC_STREAM,\N
Office 365,SAAS,\N
Netflix,VIDEO_STREAM,\N
Amazon Prime,VIDEO_STREAM,\N
Roku,VIDEO_STREAM,\N
Now TV,VIDEO_STREAM,\N
Apple TV,VIDEO_STREAM,\N
All4+,VIDEO_STREAM,GB
ITV Hub,VIDEO_STREAM,GB
Youtube,VIDEO_STREAM,\N
Acorn TV,VIDEO_STREAM,\N
HBO Max,VIDEO_STREAM,\N
Sky,VIDEO_STREAM,\N
Virgin,VIDEO_STREAM,\N
Disney+,VIDEO_STREAM,\N
TalkTalk,BROADBAND,\N
Vodafone,BROADBAND,\N
BT,BROADBAND,GB
Sky,BROADBAND,\N
NOW,BROADBAND,\N
Zen,BROADBAND,\N
EE,BROADBAND,\N
Plusnet,BROADBAND,\N
BT,LANDLINE,GB
BT,PHONE_TV_BROADBAND,BG
Virgin,PHONE_TV_BROADBAND,\N
TalkTalk,PHONE_TV_BROADBAND,\N
NOW,PHONE_TV_BROADBAND,\N
Sky,PHONE_TV_BROADBAND,\N
Vodafone,MOBILE_PHONE_SUB,\N
EE,MOBILE_PHONE_SUB,\N
O2,MOBILE_PHONE_SUB,\N